,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
851,851,851,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                    Friede / die drey Hauptstände / Teutschland /Wahremund / Wolraht / Degenwehrt / J. Reinhart /Mars / Wühterich.",0,147,stage_direction,3,15,pre_speech,,,,,no_annotation,S,,,no_annotation,no_annotation
852,852,852,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                    Hie tritt nun auff der Friede / auff das allerschönste geschmükket / vor dem Friede gehen so vieler kleiner Engel oder Kinder her / alle in weiß gekleidet / und Oelzweige in den Händen / wie auch Lorbeerkräntze auff den Häuptern tragend / so viel man solcher etwan kan haben / dem Friede folgen die drey Stände / als Geistlicher / Weltlicher und Haußstand / die kinder singen folgendes Lied.",0,428,stage_direction,3,15,pre_speech,,,,,no_annotation,S,,,no_annotation,no_annotation
853,853,853,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                    Welche den Edelen Frieden nach Teutschland begleiten.",0,90,stage_direction,3,15,pre_speech,,,,,no_annotation,S,,,no_annotation,no_annotation
854,854,854,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                    Hierauf steiget Teutschland von ihrem Thron / gehet dem Frieden gantz freudig entgegen und umbfähet denselben auff das lieblichste / dabey spricht.",0,184,stage_direction,3,15,pre_speech,,,,,joy,S,,,positive,emotions of pleasure
855,855,855,TextGrid/-Das_Friedejauchtzende_Teutschland.xml," Du mein allersüssester Friede / du wunderschöne Tochter des gütigen Himmels / meine eintzige Freude / Ja du kräfftiger Trost und Erquikkung aller Menschen auff Erden / daß du endlich / nach deme ich dreissig gantzer Jahre / wegen meiner schweren vielfältigen Ver brechen und Mißhandlungen / von dir bin verlassen / dagegen von dem grimmigen Mars und seinem Wühterich 
erbärmlicher Massen geplaget worden / nunmehr mich wieder heimsuchest / mit deinen schier unzehlichen Schätzen und Gütern zu beschenken / dafür danke ich dem allergütigsten GOtt und Vater im Himmel auß dem innersten Grunde meines Hertzen / und wünsche von gantzer Seele / daß du hinfüro nimmermehr von mir weichen / sondern biß an den lieben Jüngsten Tag bey mir und den meinigen beständig mögest verharren.",0,776,character_speech,3,15,,TEUTSCHLAND.,TEUTSCHLAND.,1.0,UNKNOWN,love,S,,,positive,emotions of affection
856,856,856,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,Allgemeiner Wunsch.,0,19,character_speech,3,15,,TEUTSCHLAND.,TEUTSCHLAND.,1.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
857,857,857,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       Welchen die triumphirende und singende Kinder in einem eintzigen Satz lassen erschallen / jedoch also / daß sie denselbigen wiederholen.",0,176,stage_direction,3,15,speech_part,,,1.0,UNKNOWN,joy,S,,,positive,emotions of pleasure
858,858,858,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       
                                          
Amen / dieses werde waar /
                                       Friede schütz uns immerdar /
                                       Friede müss' in Teutschland bleiben;
                                       Friede müsse Krieg und List /
                                       Und was mehr uns schädlich ist /
                                       Weit von unsren Grentzen treiben.",0,468,character_speech,3,15,,TEUTSCHLAND.,TEUTSCHLAND.,1.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
859,859,859,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"Amen / Amen / das sey waar /
                                       Friede schütz' uns immerdar.",508,604,character_speech,3,15,,TEUTSCHLAND.,TEUTSCHLAND.,1.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
860,860,860,TextGrid/-Das_Friedejauchtzende_Teutschland.xml," Gelobet sey GOTT / und hochgepriesen sey der HERR Zebaoth / der mich / O großmächtigste Königin / 
dir auß lauter Gnaden / und nicht umb deiner Verdienste willen / hat wieder geschenket / der Allerhöhester verleihe dir ein solches Hertz / das stets wandle in seinen Geboten und Wegen / ja Jhn mit solchem Eifer fürchte / ehre und liebe / daß Teutschland nimmermehr meiner angenehmen Gegenwart möge beraubet werden.",0,415,character_speech,3,15,,FRIEDE.,FRIEDE.,2.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
861,861,861,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       Hie singet das Kohr der Kinder oder Engel abermal.",0,90,stage_direction,3,15,speech_part,,,2.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
862,862,862,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       Amen dieses werde waar /
                                       Friede schütz uns immerdar / etc.",0,137,character_speech,3,15,,FRIEDE.,FRIEDE.,2.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
863,863,863,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       Unterdessen führet Teutschland den Frieden an der Hand / und setzet ihn neben sich auff den Trohn /zur rechten Seiten desselben stehen Wahremund /Wolraht / Degenwehrt / zur Linken Seiten / die drey Stände / vor dem Trohn die Engel oder Kinder /Mars aber und Wühterich liegen in einer Ekken und werden von J. Reinhart / wenn sie sich ungebärdig anstellen / tapfer gepeitschet.",0,415,stage_direction,3,15,speech_part,,,2.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
864,864,864,TextGrid/-Das_Friedejauchtzende_Teutschland.xml, Merket auff ihr meine Lieben / und höret die Worte eurer Königin: Es erfordert die allerhöheste Nohtwendigkeit / daß in diesem meinem neuen gantz glükkseligen Stande alles / was in unserem gantzen teutschen Reiche befindlich / verbessert / geändert und in eine solche Ordnung gebracht werde / welche GOTT im Himmel gefällig und den Menschen auff Erden nützlich / nöhtig und angenehm / derowegen ihr meine getreue Rähte und Diener / Herr Wahremund / Wolraht und Degenwehrt / eröffnet ein jedweder euer Bedenken / wie ihr vermeinet / daß hinfüro unser teutsches Regiment recht und wol möge angestellet werden.,0,608,character_speech,3,15,,TEUTSCHLAND.,TEUTSCHLAND.,3.0,UNKNOWN,joy,S,,,positive,emotions of pleasure
865,865,865,TextGrid/-Das_Friedejauchtzende_Teutschland.xml, Großmächtigste / allergnädigste Königin und Frau / ob zwar meine Schuldigkeit erfodert / E[uer] Majestät gnädigstem Befehl allergehorsamst nachzukommen / so erkenne ich doch bey diesem hohen Werke meine Schwachheit und Unvermögen / gelanget deßwegen an eure Majestät mein unterthänigstes Suchen / sie wolle ihr gnädigst belieben lassen / den Frieden / als welcher vom Himmel kommen / und demnach keine andere als himmlische und hochnützliche Vorschläge kan geben / zu ersuchen / daß sie ihren hochweisesten Raht in dieser wichtigen Sachen ertheilen / und von Wiederanrichtung eines guten Regiments ihre hochvernünfftige Meinung eröffnen wolle / nicht zweiflend / dadurch alles auff einen gar guten Fuß werde gestellet werden.,0,726,character_speech,3,15,,WAHREMUND.,WAHREMUND.,4.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
866,866,866,TextGrid/-Das_Friedejauchtzende_Teutschland.xml, Wenn ich / Durchleuchtigste Königin / von diesem / meines vielgeliebten Mitrahtes / des Herrn Wahremunds Bedenken ein unparteiisches Urtheil solte fällen / so muß ich bekennen / daß es nicht allein wol gemeinet / sondern auch wol getroffen / wir werden keinen bessern noch klügern Rahtgeber in dieser Welt / als eben den edlen und wehrten Frieden antreffen können.,0,365,character_speech,3,15,,WOLRAHT.,WOLRAHT.,5.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
867,867,867,TextGrid/-Das_Friedejauchtzende_Teutschland.xml, Und eben dieses / großmächtigste Königin / ist auch meine unvorgreiffliche Meinung / daß uns der wehrte Friede am allerfüglichsten eine Form oder Muster kan vorschreiben / nach welchem das teutsche Reich hinfüro müsse regieret und bey seinem Wolstande erhalten werden.,0,269,character_speech,3,15,,DEGENWEHRT.,DEGENWEHRT.,6.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
868,868,868,TextGrid/-Das_Friedejauchtzende_Teutschland.xml, Wollan denn / ihr meine Lieben / dieweil dieser euer guter und wolgefasseter Rahtschluß / auch mir trefflich wolgefält / so wil ich / O alleredelster und wehrtester Friede / zum allerfreundlichsten dich ersuchet und gebeten haben / du wollest dir gefallen lassen / meinen / durch die langwirige / von dem grausamen Mars und seinem grimmigen Wühterich geführte Kriege und verübete Tyranney / fast gar zerrütteten Zustand zu verbessern / und wiederumb in eine richtige / zufoderst aber meinen biß auff den Grund verderbeten Unterthanen zuträgliche Ordnung zubringen.,0,565,character_speech,3,15,,TEUTSCHLAND.,TEUTSCHLAND.,7.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
869,869,869,TextGrid/-Das_Friedejauchtzende_Teutschland.xml, Wie kan ich doch / großmächtigste Königin / auff so freundliches begehren meines allerliebsten Teutschlandes / derselben ichtwas versagen / ich wil zwar einen kurtzen / aber doch verhoffentlich / solchen Raht ertheilen / dessen / dafern ihm nur ernstlich wird nachgelebet / das gantze teutsche Reich biß an der Welt Ende sich wird erfreuen könenn.,0,348,character_speech,3,15,,FRIEDE.,FRIEDE.,8.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
870,870,870,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"Und damit wir uns nicht gar zu lange auffhalten / so ist anfänglich hochnöthig daß diese beyde Bluthunde / nemlich Mars und sein Handlanger Wühterich / von dem teutschen Boden hinweg geschaffet / und an desselben äussersten Grentzen mit gewaltigen Ketten und starken Fesselen an einen hohen Felsen werden geschlossen / daselbst auch so lange angefesselt gehalten / biß die Göttliche Gerechtigkeit sie wiederumb loß gebe / und zu Bestraffung der übermachten Menschlichen Untugenden sie auffs neue in ein Land schikken / welches verdienet hat von ihnen beherschet zu werden / du aber / O großmächtigstes Teutschland / hüte dich ja auff das allerfleissigste / daß diese ungeheure Bluthunde 
nicht umb deinet willen wiederum loß gelassen / und ihnen auffs neue / dich zu tyrannisiren von oben herab möge erlaubet werden.",349,1165,character_speech,3,15,,FRIEDE.,FRIEDE.,8.0,UNKNOWN,abhorrence,S,,,negative,emotions of rejection
871,871,871,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,Teutschland schläget die Hände in einander / sihet in die höhe / und seufftzet!,1166,1245,character_speech,3,15,,FRIEDE.,FRIEDE.,8.0,UNKNOWN,suffering,S,,,negative,emotions of suffering and empathy
872,872,872,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,Und damit solches ohne Verzug möge geschehen / so befehlen wir dir Junker Reinhart / daß du ungesäumet den höllischen Schmid / Vulkan genant / anhero lassest kommen / damit derselbe / unserem ernstlichen Befehl zu folge / mehrbesagte beyde grimmige Wunderthiere auß Teutschland führe / und an die höhesten Felsen des unwegsamen Alpengebürges fest schliesse / ja / biß auff fernem Bescheid gar daselbst anschmiede.,1246,1659,character_speech,3,15,,FRIEDE.,FRIEDE.,8.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
873,873,873,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       J. Reinhart machet eine tieffe Reverentz und gehet ab / Wahremund aber / Wolraht / Degenwehrt / die drey teutsche Stände / wie auch alle Kinder oder Engel fallen zugleich nieder is auff ihre Knie / und singen folgenden Satz.",0,264,stage_direction,3,15,speech_part,,,8.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
874,874,874,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,Loblied.,0,8,character_speech,3,15,,FRIEDE.,FRIEDE.,8.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
875,875,875,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       Dem Edlen Frieden / wegen Ertheilung so guter und hochvernünfftiger Rahtschläge / zu Ehren gesungen.",0,140,stage_direction,3,15,speech_part,,,8.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
876,876,876,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       
                                          
Dieser Raht der komt von GOtt /
                                       Lasset uns ihn höchlich preisen /
                                       Und demselben ohne Spott
                                       Ehre / Lieb' und Dienst' erweisen /
                                       Teutschland / es ist alles gut
                                       Was der wehrte Friede thut!",0,464,character_speech,3,15,,FRIEDE.,FRIEDE.,8.0,UNKNOWN,"admiration, reverence",S,,,positive,emotions of affection
877,877,877,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"
                                       J. Reinhart und Sausewind bringen den Vulkan in Gestalt eines hinkenden Schmides / mit einem schmutzigen Schurtzfelle und grossen Hammer auff den Nakken.",0,193,stage_direction,3,15,speech_part,,,8.0,UNKNOWN,no_annotation,S,,,no_annotation,no_annotation
878,878,878,TextGrid/-Das_Friedejauchtzende_Teutschland.xml," Vulkan / wir haben dich lassen anhero fodern / daß du diese beyde grimmige Menschenfeinde / nemlich den 
Blutdurstigen Mars und seinen Diener den unmenschlichen Wühterich / mit Ketten und Fesselen gebunden biß über die äusserste Gräntzen von Teutschland führen / und sie an einem gehen Felsen des allerhöhesten Alpengebürges fest sollest anschliessen / auch nicht ehe wieder aufflösen oder frey lassen / biß es dir von der Göttlichen Gerechtigkeit wird anbefohlen / hiernach wisse dich zu richten.",0,498,character_speech,3,15,,FRIEDE.,FRIEDE.,9.0,UNKNOWN,abhorrence,S,,,negative,emotions of rejection
